country,2019,2020,2021,2022,2023,2024
AL,0.1147,0.094437,0.04379,0.047925,0.041115,0.035182
AM,0.0,0.0,0.0,0.005914,0.00674,0.006012
AT,0.014489,0.013288,0.026288,0.02268,0.020914,0.008936
AZ,0.0,0.0,0.0,0.005914,0.00674,0.00517
BA,0.030792,0.026377,0.017039,0.023757,0.016115,0.026831
BG,0.022498,0.031527,0.017889,0.012455,0.035871,0.068171
BY,0.019126,0.022674,0.025743,0.005914,0.0,0.0
CZ,0.020036,0.021168,0.032116,0.028538,0.019672,0.015094
DE-LU,0.00713,0.006765,0.010619,0.009539,0.010712,0.006922
GE,0.0,0.0,0.0,0.019689,0.023927,0.01396
GR,0.134217,0.187926,0.076485,0.075438,0.145003,0.094805
HR,0.084364,0.057714,0.078095,0.07059,0.054775,0.050567
HU,0.044038,0.044046,0.061246,0.053958,0.069602,0.050893
IT-Centre-South,0.0,0.015709,0.04529,0.036152,0.024718,0.031243
IT-North,0.048753,0.015593,0.04154,0.053141,0.036698,0.014292
IT-South,0.005808,0.063002,0.031801,0.027246,0.075272,0.031554
LT,0.012319,0.011804,0.013432,0.013108,0.008411,0.007255
MD,0.014856,0.008212,0.012209,0.01935,0.014813,0.030431
ME,0.029701,0.039523,0.079489,0.083467,0.036205,0.071215
MK,0.061564,0.069346,0.044074,0.037147,0.046043,0.049473
PL,0.03261,0.035398,0.046097,0.043174,0.028614,0.026851
RO,0.022096,0.028108,0.023956,0.02214,0.03647,0.077463
RS,0.078243,0.063747,0.047088,0.057156,0.041686,0.087138
RU,0.010688,0.008897,0.006177,0.005914,0.00674,0.00517
RU-KGD,0.005808,0.005413,0.006177,0.005914,0.0,0.0
SE4,0.006578,0.005413,0.00678,0.006168,0.007164,0.005663
SI,0.095429,0.035547,0.067273,0.070139,0.054639,0.033957
SK,0.027228,0.028968,0.030595,0.02932,0.031369,0.02692
TR,0.008348,0.009274,0.007115,0.023773,0.030563,0.021197
UA,0.011622,0.012464,0.015529,0.014413,0.017381,0.026409
UA-DobTPP,0.005808,0.005413,0.006177,0.005914,0.0,0.0
UA-IPS,0.03115,0.032248,0.040228,0.023725,0.019749,0.031474
XK*,0.0,0.0,0.039666,0.040329,0.032276,0.039752
