year,source,target,flow_mw,flow_twh
2019,CZ,SK,10130260.57,10.13026057
2019,DE-LU,PL,10070871.37,10.070871369999999
2019,CZ,AT,9297099.9,9.297099900000001
2019,SK,HU,8752116.46,8.752116460000002
2019,HU,HR,8317288.04,8.31728804
2019,BA,ME,7125603.38,7.12560338
2019,AT,HU,6235175.53,6.23517553
2019,AT,SI,5781192.3,5.7811923
2019,DE-LU,CZ,5602531.86,5.60253186
2019,SI,IT-North,5140954.19,5.14095419
2019,RO,BG,4516975.92,4.51697592
2019,BG,GR,4445670.0,4.44567
2019,BG,MK,4432275.14,4.43227514
2019,SI,HR,4420592.0,4.420592
2019,UA,HU,3825607.02,3.82560702
2019,PL,SK,3243436.1,3.2434361000000003
2019,SE4,PL,3076395.33,3.07639533
2019,IT-South,GR,3027927.0,3.027927
2019,PL,CZ,2938870.98,2.93887098
2019,SK,UA,2936329.22,2.93632922
2019,MK,GR,2685944.0,2.685944
2019,TR,GR,2670876.0,2.670876
2019,RU-KGD,LT,2669207.0,2.669207
2019,BG,RS,2654201.64,2.65420164
2019,HR,SI,2282028.0,2.282028
2019,LT,PL,2279314.58,2.27931458
2019,RS,MK,2205556.05,2.2055560499999998
2019,ME,AL,2174036.86,2.1740368599999997
2019,UA,RO,1978767.48,1.97876748
2019,BG,TR,1935194.8,1.9351948
2019,HU,RO,1893000.76,1.89300076
2019,CZ,DE-LU,1651104.67,1.6511046699999998
2019,BA,HR,1629734.0,1.629734
2019,BA,RS,1584914.72,1.58491472
2019,RU,UA-IPS,1442093.0,1.442093
2019,UA-DobTPP,PL,1376823.94,1.37682394
2019,UA,PL,1376823.94,1.37682394
2019,BG,RO,1102306.72,1.10230672
2019,RS,BA,1038919.88,1.03891988
2019,RO,RS,995188.03,0.99518803
2019,UA-IPS,BY,973421.0,0.973421
2019,RS,HR,816000.0,0.816
2019,ME,RS,782888.6,0.7828885999999999
2019,GR,AL,763529.0,0.763529
2019,HU,RS,761198.77,0.76119877
2019,HR,RS,718414.0,0.718414
2019,HR,BA,673197.0,0.673197
2019,UA,MD,605174.0,0.605174
2019,UA-IPS,MD,605174.0,0.605174
2019,RS,RO,524995.02,0.52499502
2019,RS,ME,523626.2,0.5236262
2019,RS,HU,490575.38,0.49057538
2019,AL,GR,453639.0,0.453639
2019,BY,UA-IPS,430853.0,0.430853
2019,PL,LT,383581.94,0.38358194
2019,UA-IPS,RU,356694.0,0.356694
2019,AL,RS,272738.7,0.2727387
2019,GR,MK,217263.0,0.217263
2019,CZ,PL,201098.14,0.20109814
2019,HR,HU,199323.24,0.19932323999999998
2019,RS,AL,195176.0,0.195176
2019,PL,SE4,187656.4,0.1876564
2019,IT-North,SI,169553.29,0.16955329
2019,RS,BG,151227.56,0.15122756
2019,SI,AT,148470.73,0.14847073000000002
2019,MK,RS,145052.25,0.14505225
2019,RO,HU,144281.84,0.14428184
2019,ME,BA,109222.66,0.10922266
2019,TR,BG,87069.0,0.087069
2019,GR,BG,74674.0,0.074674
2019,GR,IT-South,55463.0,0.055463
2019,RO,UA,36902.0,0.036902
2019,SK,CZ,28788.85,0.028788849999999998
2019,UA,SK,26961.52,0.02696152
2019,SK,PL,25341.7,0.0253417
2019,HU,AT,18446.69,0.018446689999999998
2019,MK,BG,15066.0,0.015066
2019,ME,IT-Centre-South,12719.0,0.012719
2019,AL,ME,9298.91,0.00929891
2019,MD,UA,6772.0,0.006772
2019,MD,UA-IPS,6772.0,0.006772
2019,PL,DE-LU,6492.93,0.00649293
2019,IT-Brindisi,GR,6315.0,0.006315
2019,AT,CZ,6004.5,0.0060045
2019,HU,UA,3432.0,0.003432
2019,HU,SK,3329.45,0.00332945
2019,GR,TR,1997.0,0.001997
2019,LT,RU-KGD,1222.0,0.001222
2019,IT-Centre-South,ME,825.0,0.000825
2019,GR,IT-Brindisi,429.0,0.000429
2019,PL,UA,0.0,0.0
2019,PL,UA-DobTPP,0.0,0.0
2020,DE-LU,PL,11226534.85,11.22653485
2020,CZ,SK,9768493.18,9.76849318
2020,SK,HU,9263223.48,9.26322348
2020,BA,ME,8855398.5,8.8553985
2020,CZ,AT,8364021.4,8.3640214
2020,DE-LU,CZ,7494186.44,7.49418644
2020,SI,HR,7242488.0,7.242488
2020,AT,HU,6327072.79,6.32707279
2020,HU,HR,6269002.16,6.26900216
2020,RO,BG,5404738.0,5.404738
2020,AT,SI,4698322.24,4.69832224
2020,SE4,PL,3788737.48,3.78873748
2020,SI,IT-North,3758533.44,3.75853344
2020,BG,GR,3724848.0,3.724848
2020,BG,MK,3708594.0,3.708594
2020,SK,UA,3358863.82,3.35886382
2020,PL,SK,3150380.38,3.15038038
2020,RS,MK,3075174.81,3.07517481
2020,PL,CZ,2854651.65,2.85465165
2020,MK,GR,2818265.0,2.818265
2020,UA,RO,2796538.64,2.79653864
2020,ME,AL,2618949.27,2.61894927
2020,IT-South,GR,2571817.0,2.571817
2020,LT,PL,2157753.33,2.1577533300000002
2020,HU,RO,2100663.75,2.10066375
2020,BA,RS,2088637.3,2.0886373000000003
2020,RU-KGD,LT,2051666.0,2.051666
2020,TR,GR,1844014.0,1.844014
2020,BG,TR,1648358.0,1.648358
2020,ME,IT-Centre-South,1633004.0,1.633004
2020,UA-IPS,BY,1631228.0,1.631228
2020,UA,HU,1623015.31,1.62301531
2020,HR,BA,1589919.0,1.589919
2020,BG,RS,1547508.26,1.54750826
2020,CZ,DE-LU,1516458.58,1.5164585800000001
2020,UA-DobTPP,PL,1484090.76,1.48409076
2020,UA,PL,1484090.76,1.48409076
2020,RU,UA-IPS,1308040.0,1.30804
2020,HR,SI,1076400.0,1.0764
2020,ME,RS,1076341.88,1.07634188
2020,HR,RS,1060724.0,1.060724
2020,IT-Centre-South,ME,1046078.0,1.046078
2020,RS,RO,961493.97,0.9614939699999999
2020,HU,RS,954998.77,0.95499877
2020,BA,HR,875541.0,0.875541
2020,BG,RO,812804.0,0.812804
2020,RS,HR,779140.0,0.77914
2020,HR,HU,648955.74,0.64895574
2020,RO,RS,613931.14,0.61393114
2020,AL,GR,610294.0,0.610294
2020,CZ,PL,534355.06,0.5343550600000001
2020,RS,HU,503693.47,0.50369347
2020,RS,ME,498450.81,0.49845081
2020,RS,BG,458045.54,0.45804554
2020,UA-IPS,PL,402615.9,0.4026159
2020,RS,BA,395341.58,0.39534158
2020,GR,AL,390881.0,0.390881
2020,PL,LT,379697.63,0.37969763
2020,UA-IPS,RU,329244.0,0.329244
2020,GR,IT-South,315634.0,0.315634
2020,AL,RS,289869.93,0.28986993
2020,TR,BG,274164.0,0.274164
2020,IT-North,SI,273448.02,0.27344802
2020,UA-IPS,MD,227402.0,0.227402
2020,UA,MD,227402.0,0.227402
2020,GR,MK,168923.0,0.168923
2020,BY,UA-IPS,154993.0,0.154993
2020,SI,AT,154744.52,0.15474452
2020,RS,AL,150217.82,0.15021782
2020,HU,UA,125969.34,0.12596933999999999
2020,RO,UA,94801.63,0.09480163
2020,UA,SK,91156.82,0.09115682000000001
2020,MD,UA-IPS,90288.0,0.090288
2020,MD,UA,90288.0,0.090288
2020,SK,PL,88250.5,0.0882505
2020,RO,HU,79489.08,0.07948908
2020,ME,BA,73946.58,0.07394658
2020,HU,AT,57265.97,0.05726597
2020,AT,CZ,43426.7,0.0434267
2020,SK,CZ,40710.68,0.04071068
2020,MK,RS,33811.11,0.03381111
2020,GR,BG,29274.0,0.029274
2020,GR,TR,22188.0,0.022188
2020,AL,ME,15658.26,0.01565826
2020,PL,SE4,12435.22,0.012435219999999999
2020,HU,SK,7799.17,0.00779917
2020,MK,BG,7268.0,0.007268
2020,PL,DE-LU,4531.41,0.00453141
2020,LT,RU-KGD,468.0,0.000468
2020,PL,UA-IPS,0.0,0.0
2020,PL,UA-DobTPP,0.0,0.0
2020,PL,UA,0.0,0.0
2020,MD,RO,0.0,0.0
2020,RO,MD,0.0,0.0
2021,CZ,AT,10765775.6,10.7657756
2021,SK,HU,10726872.13,10.72687213
2021,CZ,SK,8770840.82,8.77084082
2021,DE-LU,PL,8536063.62,8.536063619999998
2021,PL,CZ,7910242.6,7.910242599999999
2021,HU,HR,6409063.9,6.4090639000000005
2021,HR,SI,6389190.0,6.38919
2021,SI,IT-North,5425107.73,5.425107730000001
2021,BG,RS,5377018.54,5.37701854
2021,PL,SK,4623426.0,4.623426
2021,BG,GR,3916564.0,3.916564
2021,AT,SI,3869398.63,3.86939863
2021,DE-LU,CZ,3677923.49,3.6779234900000004
2021,BG,RO,3632272.0,3.632272
2021,SE4,PL,3430989.93,3.43098993
2021,CZ,DE-LU,3423198.71,3.42319871
2021,ME,IT-Centre-South,3352489.0,3.352489
2021,BA,HR,3171583.0,3.171583
2021,AT,HU,3123233.86,3.12323386
2021,TR,GR,2909124.0,2.909124
2021,MK,GR,2828014.0,2.828014
2021,RS,XK*,2819114.88,2.81911488
2021,UA,HU,2745697.09,2.7456970899999997
2021,SI,HR,2730194.0,2.730194
2021,RS,HR,2451990.0,2.45199
2021,BG,MK,2403238.0,2.403238
2021,RU,UA-IPS,2370185.0,2.370185
2021,AL,ME,2339478.14,2.33947814
2021,BA,ME,2326278.74,2.3262787400000002
2021,SK,UA,1971777.52,1.97177752
