year,source,target,flow_mw,flow_twh
2022,SK,HU,13196436.87,13.19643687
2022,CZ,AT,12537737.6,12.5377376
2022,CZ,SK,10535027.3,10.535027300000001
2022,HU,HR,9486845.06,9.48684506
2022,PL,CZ,8735759.59,8.73575959
2022,DE-LU,PL,8231303.74,8.23130374
2022,BG,RO,6440900.84,6.44090084
2022,BG,RS,6375029.52,6.375029519999999
2022,SI,IT-North,6056625.09,6.05662509
2022,PL,SK,6008341.2,6.0083412
2022,HR,SI,6001202.0,6.001202
2022,AT,SI,4341422.47,4.3414224699999995
2022,GE,TR,4025287.57,4.02528757
2022,RO,MD,4019564.5,4.0195645
2022,BG,GR,3909082.0,3.909082
2022,SE4,PL,3899310.77,3.89931077
2022,DE-LU,CZ,3694616.38,3.69461638
2022,CZ,DE-LU,3622005.23,3.62200523
2022,AT,HU,3380697.84,3.38069784
2022,ME,IT-Centre-South,3247376.0,3.247376
2022,UA,HU,3044086.87,3.04408687
2022,RS,XK*,2994012.82,2.99401282
2022,TR,GR,2962593.0,2.962593
2022,MK,GR,2807090.0,2.80709
2022,ME,RS,2806690.92,2.80669092
2022,AZ,GE,2772614.82,2.77261482
2022,BA,HR,2675955.0,2.675955
2022,MD,UA-IPS,2551438.0,2.551438
2022,BG,MK,2435772.16,2.43577216
2022,RS,HR,2311946.0,2.311946
2022,AL,ME,2302669.56,2.30266956
2022,BG,TR,2272629.4,2.2726294
2022,RO,RS,1948250.87,1.94825087
2022,RS,BA,1858988.18,1.8589881799999999
2022,BA,ME,1842516.13,1.84251613
2022,GR,MK,1810480.0,1.81048
2022,SK,UA,1802051.75,1.80205175
2022,XK*,AL,1801691.94,1.80169194
2022,GR,IT-South,1737285.0,1.737285
2022,LT,PL,1729831.07,1.7298310700000001
2022,RU,GE,1680818.58,1.6808185800000002
2022,UA,RO,1538708.82,1.53870882
2022,RO,BG,1501533.04,1.50153304
2022,GR,AL,1486412.0,1.486412
2022,HU,RO,1281788.32,1.28178832
2022,MD,UA,1275719.0,1.275719
2022,XK*,ME,1152932.0,1.152932
2022,SI,HR,1149992.0,1.149992
2022,UA-DobTPP,PL,1129802.5,1.1298025
2022,UA-IPS,PL,1129802.5,1.1298025
2022,UA,PL,1129802.5,1.1298025
2022,HU,SI,1127926.23,1.12792623
2022,IT-South,GR,1050032.0,1.050032
2022,PL,LT,940959.62,0.94095962
2022,AL,XK*,853966.24,0.85396624
2022,ME,AL,833459.7,0.8334596999999999
2022,RU-KGD,LT,808942.0,0.808942
2022,MK,XK*,764253.6,0.7642536
2022,HU,RS,737684.61,0.73768461
2022,UA-IPS,HU,732889.27,0.73288927
2022,RS,MK,721900.58,0.7219005799999999
2022,BA,RS,657207.68,0.6572076800000001
2022,RS,HU,611129.48,0.61112948
2022,RU,UA-IPS,590227.0,0.590227
2022,HU,AT,560590.93,0.56059093
2022,MK,RS,560279.64,0.56027964
2022,SK,UA-IPS,532053.27,0.53205327
2022,UA-IPS,RO,528087.64,0.52808764
2022,UA-IPS,MD,483330.0,0.48333
2022,HR,RS,465634.0,0.465634
2022,XK*,RS,459849.6,0.45984959999999997
2022,ME,BA,456749.93,0.45674992999999997
2022,HR,BA,449673.0,0.449673
2022,XK*,MK,446121.6,0.44612159999999995
2022,SI,AT,439123.26,0.43912326
2022,IT-Centre-South,ME,421132.0,0.421132
2022,RS,ME,412985.48,0.41298547999999996
2022,HR,HU,362933.7,0.3629337
2022,AM,GE,358935.62,0.35893562
2022,RO,HU,329204.08,0.32920408
2022,AL,GR,291039.0,0.291039
2022,ME,XK*,275691.4,0.27569140000000003
2022,UA,MD,241665.0,0.241665
2022,RS,RO,226493.02,0.22649302
2022,GR,BG,188372.0,0.188372
2022,BY,UA-IPS,188275.0,0.188275
2022,PL,DE-LU,145000.73,0.14500073000000002
2022,RO,UA,124275.75,0.12427575
2022,MD,RO,123331.0,0.123331
2022,PL,SE4,110117.29,0.11011728999999999
2022,TR,BG,100204.4,0.1002044
2022,UA,SK,77013.53,0.07701353
2022,GE,AM,72924.92,0.07292492
2022,HU,UA,68333.9,0.06833389999999999
2022,UA-IPS,SK,57845.14,0.057845139999999996
2022,RO,UA-IPS,50650.75,0.05065075
2022,RS,BG,44880.16,0.04488016
2022,SK,CZ,32928.659999999996,0.03292866
2022,HU,UA-IPS,24474.079999999998,0.02447408
2022,UA-IPS,BY,23764.0,0.023764
2022,LT,RU-KGD,23383.0,0.023383
2022,IT-North,SI,19466.12,0.01946612
2022,MK,BG,18477.97,0.01847797
2022,GR,TR,18359.0,0.018359
2022,SI,HU,17921.78,0.01792178
2022,CZ,PL,14782.19,0.01478219
2022,SK,PL,14519.4,0.0145194
2022,HU,SK,12501.57,0.01250157
2022,GE,AZ,9312.66,0.00931266
2022,UA-IPS,RU,2203.0,0.002203
2022,AT,CZ,484.2,0.0004842
2022,TR,GE,5.75,5.75e-06
2022,PL,UA,0.0,0.0
2022,GE,RU,0.0,0.0
2022,PL,UA-IPS,0.0,0.0
2022,PL,UA-DobTPP,0.0,0.0
