year,source,target,flow_mw,flow_twh
2020,DE-LU,PL,11226534.85,11.22653485
2020,CZ,SK,9768493.18,9.76849318
2020,SK,HU,9263223.48,9.26322348
2020,BA,ME,8855398.5,8.8553985
2020,CZ,AT,8364021.4,8.3640214
2020,DE-LU,CZ,7494186.44,7.49418644
2020,SI,HR,7242488.0,7.242488
2020,AT,HU,6327072.79,6.32707279
2020,HU,HR,6269002.16,6.26900216
2020,RO,BG,5404738.0,5.404738
2020,AT,SI,4698322.24,4.69832224
2020,SE4,PL,3788737.48,3.78873748
2020,SI,IT-North,3758533.44,3.75853344
2020,BG,GR,3724848.0,3.724848
2020,BG,MK,3708594.0,3.708594
2020,SK,UA,3358863.82,3.35886382
2020,PL,SK,3150380.38,3.15038038
2020,RS,MK,3075174.81,3.07517481
2020,PL,CZ,2854651.65,2.85465165
2020,MK,GR,2818265.0,2.818265
2020,UA,RO,2796538.64,2.79653864
2020,ME,AL,2618949.27,2.61894927
2020,IT-South,GR,2571817.0,2.571817
2020,LT,PL,2157753.33,2.1577533300000002
2020,HU,RO,2100663.75,2.10066375
2020,BA,RS,2088637.3,2.0886373000000003
2020,RU-KGD,LT,2051666.0,2.051666
2020,TR,GR,1844014.0,1.844014
2020,BG,TR,1648358.0,1.648358
2020,ME,IT-Centre-South,1633004.0,1.633004
2020,UA-IPS,BY,1631228.0,1.631228
2020,UA,HU,1623015.31,1.62301531
2020,HR,BA,1589919.0,1.589919
2020,BG,RS,1547508.26,1.54750826
2020,CZ,DE-LU,1516458.58,1.5164585800000001
2020,UA-DobTPP,PL,1484090.76,1.48409076
2020,UA,PL,1484090.76,1.48409076
2020,RU,UA-IPS,1308040.0,1.30804
2020,HR,SI,1076400.0,1.0764
2020,ME,RS,1076341.88,1.07634188
2020,HR,RS,1060724.0,1.060724
2020,IT-Centre-South,ME,1046078.0,1.046078
2020,RS,RO,961493.97,0.9614939699999999
2020,HU,RS,954998.77,0.95499877
2020,BA,HR,875541.0,0.875541
2020,BG,RO,812804.0,0.812804
2020,RS,HR,779140.0,0.77914
2020,HR,HU,648955.74,0.64895574
2020,RO,RS,613931.14,0.61393114
2020,AL,GR,610294.0,0.610294
2020,CZ,PL,534355.06,0.5343550600000001
2020,RS,HU,503693.47,0.50369347
2020,RS,ME,498450.81,0.49845081
2020,RS,BG,458045.54,0.45804554
2020,UA-IPS,PL,402615.9,0.4026159
2020,RS,BA,395341.58,0.39534158
2020,GR,AL,390881.0,0.390881
2020,PL,LT,379697.63,0.37969763
2020,UA-IPS,RU,329244.0,0.329244
2020,GR,IT-South,315634.0,0.315634
2020,AL,RS,289869.93,0.28986993
2020,TR,BG,274164.0,0.274164
2020,IT-North,SI,273448.02,0.27344802
2020,UA-IPS,MD,227402.0,0.227402
2020,UA,MD,227402.0,0.227402
2020,GR,MK,168923.0,0.168923
2020,BY,UA-IPS,154993.0,0.154993
2020,SI,AT,154744.52,0.15474452
2020,RS,AL,150217.82,0.15021782
2020,HU,UA,125969.34,0.12596933999999999
