"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GR","BZN|AL","175.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|AL","BZN|GR","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|BG","BZN|GR","277.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GR","BZN|IT-Brindisi","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|IT-Brindisi","BZN|GR","319.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GR","BZN|IT-GR","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|IT-GR","BZN|GR","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GR","BZN|IT-South","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|IT-South","BZN|GR","319.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|MK","BZN|GR","131.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|GR","BZN|TR","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|TR","BZN|GR","460.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GR","BZN|AL","173.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|AL","BZN|GR","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|BG","BZN|GR","308.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GR","BZN|IT-Brindisi","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|IT-Brindisi","BZN|GR","307.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GR","BZN|IT-GR","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|IT-GR","BZN|GR","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GR","BZN|IT-South","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|IT-South","BZN|GR","307.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|MK","BZN|GR","168.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|GR","BZN|TR","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|TR","BZN|GR","464.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GR","BZN|AL","145.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|AL","BZN|GR","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|BG","BZN|GR","311.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GR","BZN|IT-Brindisi","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|IT-Brindisi","BZN|GR","224.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GR","BZN|IT-GR","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|IT-GR","BZN|GR","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GR","BZN|IT-South","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|IT-South","BZN|GR","224.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|MK","BZN|GR","195.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|GR","BZN|TR","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|TR","BZN|GR","418.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GR","BZN|AL","145.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|AL","BZN|GR","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|BG","BZN|GR","291.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GR","BZN|IT-Brindisi","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|IT-Brindisi","BZN|GR","219.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GR","BZN|IT-GR","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|IT-GR","BZN|GR","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GR","BZN|IT-South","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|IT-South","BZN|GR","219.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|MK","BZN|GR","174.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|GR","BZN|TR","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|TR","BZN|GR","403.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|GR","BZN|AL","133.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|AL","BZN|GR","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|BG","BZN|GR","273.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|GR","BZN|IT-Brindisi","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|IT-Brindisi","BZN|GR","219.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|GR","BZN|IT-GR","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|IT-GR","BZN|GR","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|GR","BZN|IT-South","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|IT-South","BZN|GR","219.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|GR","BZN|MK","0.00"
