"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|CZ","658.46"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|CZ-DE-SK","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|CZ-DE-SK","BZN|PL","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|DE-AT-LU","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DE-AT-LU","BZN|PL","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|DE-LU","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|DE-LU","BZN|PL","1017.78"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|LT","413.16"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|LT","BZN|PL","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|SE4","164.68"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|SE4","BZN|PL","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|SK","674.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|UA","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|UA","BZN|PL","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|UA-DobTPP","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|UA-DobTPP","BZN|PL","0.00"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|PL","BZN|UA-IPS","n/e"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|UA-IPS","BZN|PL","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|CZ","523.34"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|CZ-DE-SK","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|CZ-DE-SK","BZN|PL","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|DE-AT-LU","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DE-AT-LU","BZN|PL","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|DE-LU","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|DE-LU","BZN|PL","1095.53"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|LT","244.04"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|LT","BZN|PL","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|SE4","0.61"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|SE4","BZN|PL","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|SK","604.90"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|UA","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|UA","BZN|PL","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|UA-DobTPP","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|UA-DobTPP","BZN|PL","0.00"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|PL","BZN|UA-IPS","n/e"
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|UA-IPS","BZN|PL","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|CZ","556.72"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|CZ-DE-SK","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|CZ-DE-SK","BZN|PL","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|DE-AT-LU","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DE-AT-LU","BZN|PL","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|DE-LU","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|DE-LU","BZN|PL","1110.98"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|LT","1.24"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|LT","BZN|PL","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|SE4","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|SE4","BZN|PL","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|SK","582.30"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|UA","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|UA","BZN|PL","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|UA-DobTPP","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|UA-DobTPP","BZN|PL","0.00"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|PL","BZN|UA-IPS","n/e"
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|UA-IPS","BZN|PL","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|CZ","561.10"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|CZ-DE-SK","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|CZ-DE-SK","BZN|PL","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|DE-AT-LU","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DE-AT-LU","BZN|PL","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|DE-LU","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|DE-LU","BZN|PL","1089.76"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|LT","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|LT","BZN|PL","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|SE4","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|SE4","BZN|PL","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|SK","533.50"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|UA","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|UA","BZN|PL","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|UA-DobTPP","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|UA-DobTPP","BZN|PL","0.00"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|PL","BZN|UA-IPS","n/e"
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|UA-IPS","BZN|PL","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|CZ","422.29"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|CZ-DE-SK","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|CZ-DE-SK","BZN|PL","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|DE-AT-LU","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|DE-AT-LU","BZN|PL","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|DE-LU","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|DE-LU","BZN|PL","881.40"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|LT","1.67"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|LT","BZN|PL","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|SE4","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|SE4","BZN|PL","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|SK","509.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|UA","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|UA","BZN|PL","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|UA-DobTPP","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|UA-DobTPP","BZN|PL","0.00"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|PL","BZN|UA-IPS","n/e"
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|UA-IPS","BZN|PL","n/e"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|PL","BZN|CZ","459.73"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|PL","BZN|CZ-DE-SK","n/e"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|CZ-DE-SK","BZN|PL","n/e"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|PL","BZN|DE-AT-LU","n/e"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|DE-AT-LU","BZN|PL","n/e"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|PL","BZN|DE-LU","0.00"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|DE-LU","BZN|PL","969.60"
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|PL","BZN|LT","259.57"
