"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HR","BZN|BA","602.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|HR","828.99"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HR","BZN|RS","152.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HR","BZN|SI","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|HR","235.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HR","BZN|BA","494.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|HR","1007.77"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HR","BZN|RS","160.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HR","BZN|SI","88.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HR","BZN|BA","363.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|HR","923.54"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HR","BZN|RS","120.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HR","BZN|SI","217.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HR","BZN|BA","279.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|HR","831.88"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HR","BZN|RS","90.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HR","BZN|SI","280.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HR","BZN|BA","491.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|HR","933.35"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HR","BZN|RS","165.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HR","BZN|SI","141.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HR","BZN|BA","399.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HU","BZN|HR","868.34"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HR","BZN|RS","113.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HR","BZN|SI","242.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|HR","BZN|BA","175.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|HU","BZN|HR","783.78"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|HR","BZN|RS","42.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|HR","BZN|SI","462.00"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|HR","BZN|BA","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|BA","BZN|HR","10.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|HU","BZN|HR","677.35"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|RS","BZN|HR","22.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|HR","BZN|SI","671.00"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|HR","BZN|BA","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|BA","BZN|HR","188.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|HU","BZN|HR","648.96"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|RS","BZN|HR","55.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|HR","BZN|SI","717.00"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|HR","BZN|BA","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|BA","BZN|HR","181.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|HU","BZN|HR","669.32"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|RS","BZN|HR","71.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|HR","BZN|SI","766.00"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|HR","BZN|BA","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|BA","BZN|HR","109.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|HU","BZN|HR","591.50"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|RS","BZN|HR","70.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|HR","BZN|SI","503.00"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|HR","BZN|BA","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|BA","BZN|HR","114.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|HU","BZN|HR","565.09"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|RS","BZN|HR","90.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|HR","BZN|SI","510.00"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|HR","BZN|BA","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|BA","BZN|HR","79.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|HU","BZN|HR","552.08"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|RS","BZN|HR","79.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|HR","BZN|SI","474.00"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|HR","BZN|BA","0.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|BA","BZN|HR","51.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|HU","BZN|HR","465.33"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|RS","BZN|HR","81.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|HR","BZN|SI","409.00"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|HR","BZN|BA","77.00"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|HU","BZN|HR","446.16"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|RS","BZN|HR","53.00"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|HR","BZN|SI","306.00"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|HR","BZN|BA","143.00"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|HU","BZN|HR","366.02"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|RS","BZN|HR","31.00"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|HR","BZN|SI","146.00"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|HR","BZN|BA","150.00"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|HU","BZN|HR","318.87"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|RS","BZN|HR","13.00"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|HR","BZN|SI","0.00"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|SI","BZN|HR","41.00"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|HR","BZN|BA","142.00"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|HU","BZN|HR","513.72"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|RS","BZN|HR","4.00"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|HR","BZN|SI","10.00"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|HR","BZN|BA","102.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|HU","BZN|HR","572.09"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|RS","BZN|HR","13.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|HR","BZN|SI","89.00"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|HR","BZN|BA","120.00"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|HU","BZN|HR","558.99"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|RS","BZN|HR","10.00"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|HR","BZN|SI","28.00"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|HR","BZN|BA","140.00"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|HU","BZN|HR","509.52"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|RS","BZN|HR","11.00"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|HR","BZN|SI","0.00"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|HR","BZN|BA","165.00"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|HU","BZN|HR","590.51"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|HR","BZN|RS","0.00"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|RS","BZN|HR","2.00"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|HR","BZN|SI","7.00"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|HR","BZN|BA","306.00"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|HU","BZN|HR","662.13"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|HR","BZN|RS","36.00"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|HR","BZN|SI","0.00"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|SI","BZN|HR","36.00"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|HR","BZN|BA","366.00"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|HU","BZN|HR","744.70"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|HR","BZN|RS","69.00"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|HR","BZN|SI","43.00"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|SI","BZN|HR","0.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|HR","BZN|BA","274.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|BA","BZN|HR","0.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|HR","BZN|HU","0.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|HU","BZN|HR","873.90"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|HR","BZN|RS","85.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|RS","BZN|HR","0.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|HR","BZN|SI","132.00"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|SI","BZN|HR","0.00"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|HR","BZN|BA","335.00"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|BA","BZN|HR","0.00"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|HR","BZN|HU","0.00"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|HU","BZN|HR","849.03"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|HR","BZN|RS","112.00"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|RS","BZN|HR","0.00"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|HR","BZN|SI","63.00"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|SI","BZN|HR","0.00"
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|HR","BZN|BA","350.00"
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|BA","BZN|HR","0.00"
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|HR","BZN|HU","0.00"
