"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|AT","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|AT","BZN|HU","908.87"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|DE-AT-LU","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DE-AT-LU","BZN|HU","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|HR","828.99"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|RO","315.56"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|RS","300.18"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SK","BZN|HU","1162.95"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|UA","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|UA","BZN|HU","208.11"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|AT","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|AT","BZN|HU","758.63"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|DE-AT-LU","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DE-AT-LU","BZN|HU","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|HR","1007.77"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|RO","277.30"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|RS","342.29"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SK","BZN|HU","1226.61"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|UA","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|UA","BZN|HU","274.21"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|AT","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|AT","BZN|HU","566.20"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|DE-AT-LU","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DE-AT-LU","BZN|HU","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|HR","923.54"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|RO","258.53"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|RS","265.07"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|SK","BZN|HU","1091.51"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|UA","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|UA","BZN|HU","282.83"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|AT","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|AT","BZN|HU","367.65"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|DE-AT-LU","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DE-AT-LU","BZN|HU","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|HR","831.88"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|RO","248.74"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|RS","195.40"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|SK","BZN|HU","978.69"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|UA","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|UA","BZN|HU","276.86"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|AT","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|AT","BZN|HU","416.69"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|DE-AT-LU","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|DE-AT-LU","BZN|HU","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|HR","933.35"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HR","BZN|HU","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|RO","291.86"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|RS","304.82"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|SK","BZN|HU","1137.01"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|UA","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|UA","BZN|HU","280.90"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HU","BZN|AT","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|AT","BZN|HU","254.94"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HU","BZN|DE-AT-LU","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|DE-AT-LU","BZN|HU","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HU","BZN|HR","868.34"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|HR","BZN|HU","0.00"
