"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ME","BZN|AL","485.28"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|BA","BZN|ME","1045.21"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ME","BZN|IT-Centre-South","253.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|IT-Centre-South","BZN|ME","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ME","BZN|RS","87.51"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ME","BZN|XK*","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|XK*","BZN|ME","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ME","BZN|AL","458.89"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|BA","BZN|ME","946.66"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ME","BZN|IT-Centre-South","261.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|IT-Centre-South","BZN|ME","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ME","BZN|RS","53.84"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ME","BZN|XK*","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|XK*","BZN|ME","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|ME","BZN|AL","460.92"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|BA","BZN|ME","863.47"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|ME","BZN|IT-Centre-South","180.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|IT-Centre-South","BZN|ME","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|ME","BZN|RS","21.60"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|ME","BZN|XK*","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|XK*","BZN|ME","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|ME","BZN|AL","443.60"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|BA","BZN|ME","760.38"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|ME","BZN|IT-Centre-South","178.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|IT-Centre-South","BZN|ME","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|ME","BZN|RS","6.69"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|ME","BZN|XK*","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|XK*","BZN|ME","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|ME","BZN|AL","438.36"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|BA","BZN|ME","863.68"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|ME","BZN|IT-Centre-South","181.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|IT-Centre-South","BZN|ME","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|ME","BZN|RS","91.10"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|ME","BZN|XK*","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|XK*","BZN|ME","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|ME","BZN|AL","407.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|BA","BZN|ME","772.21"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|ME","BZN|IT-Centre-South","212.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|IT-Centre-South","BZN|ME","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|ME","BZN|RS","42.16"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|ME","BZN|XK*","n/e"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|XK*","BZN|ME","n/e"
