"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|AL","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|AL","BZN|RS","35.42"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|BA","BZN|RS","173.78"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|BG","BZN|RS","59.12"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HR","BZN|RS","152.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|HU","BZN|RS","300.18"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|ME","BZN|RS","87.51"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|MK","543.17"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|RO","57.52"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RO","BZN|RS","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|RS","BZN|XK*","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|XK*","BZN|RS","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|AL","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|AL","BZN|RS","22.31"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|BA","BZN|RS","123.30"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|BG","BZN|RS","89.02"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HR","BZN|RS","160.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|HU","BZN|RS","342.29"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|ME","BZN|RS","53.84"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|MK","504.26"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|RO","54.37"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RO","BZN|RS","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|RS","BZN|XK*","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|XK*","BZN|RS","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|AL","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|AL","BZN|RS","17.85"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|BA","BZN|RS","88.96"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|BG","BZN|RS","116.72"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HR","BZN|RS","120.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|HU","BZN|RS","265.07"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|ME","BZN|RS","21.60"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|MK","479.27"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RO","BZN|RS","12.80"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|RS","BZN|XK*","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|XK*","BZN|RS","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|AL","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|AL","BZN|RS","9.83"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|BA","BZN|RS","70.82"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|BG","BZN|RS","134.39"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|HR","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HR","BZN|RS","90.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|HU","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|HU","BZN|RS","195.40"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|ME","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|ME","BZN|RS","6.69"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|MK","476.75"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RO","BZN|RS","87.91"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|RS","BZN|XK*","n/e"
