"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BG","BZN|GR","269.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BG","BZN|MK","290.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|BG","316.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BG","BZN|RS","216.81"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BG","BZN|TR","80.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|TR","BZN|BG","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BG","BZN|GR","265.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BG","BZN|MK","273.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","BZN|BG","427.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BG","BZN|RS","200.23"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BG","BZN|TR","91.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|TR","BZN|BG","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|BG","BZN|GR","232.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|BG","BZN|MK","242.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|RO","BZN|BG","365.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|BG","BZN|RS","197.03"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|BG","BZN|TR","75.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|TR","BZN|BG","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|BG","BZN|GR","213.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|BG","BZN|MK","208.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|RO","BZN|BG","251.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|BG","BZN|RS","163.28"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|BG","BZN|TR","75.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|TR","BZN|BG","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|BG","BZN|GR","217.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|BG","BZN|MK","203.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|RO","BZN|BG","300.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|BG","BZN|RS","168.79"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|BG","BZN|TR","75.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|TR","BZN|BG","0.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|BG","BZN|GR","227.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|BG","BZN|MK","209.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|RO","BZN|BG","376.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|BG","BZN|RS","173.22"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|BG","BZN|TR","91.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|TR","BZN|BG","0.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|BG","BZN|GR","231.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|BG","BZN|MK","240.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|RO","BZN|BG","435.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|BG","BZN|RS","220.87"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|BG","BZN|TR","40.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|TR","BZN|BG","0.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|BG","BZN|GR","240.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|GR","BZN|BG","0.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|BG","BZN|MK","218.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|RO","BZN|BG","544.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|BG","BZN|RS","155.78"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|RS","BZN|BG","0.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|BG","BZN|TR","181.00"
