"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|BG","316.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|HU","BZN|RO","47.95"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|MD","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|RS","49.74"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|UA","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA","BZN|RO","38.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","BZN|BG","427.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BG","BZN|RO","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","BZN|HU","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|HU","BZN|RO","22.42"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","BZN|MD","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","BZN|RS","12.55"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RS","BZN|RO","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|RO","BZN|UA","0.00"
