"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|BG","BZN|MK","462.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|MK","BZN|GR","64.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|RS","BZN|MK","94.47"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|MK","BZN|XK*","98.40"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|BG","BZN|MK","442.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|MK","BZN|GR","117.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|RS","BZN|MK","70.02"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|MK","BZN|XK*","24.80"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|BG","BZN|MK","429.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|MK","BZN|GR","146.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|RS","BZN|MK","53.22"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|XK*","BZN|MK","4.40"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|BG","BZN|MK","434.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|MK","BZN|GR","249.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|RS","BZN|MK","23.71"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|XK*","BZN|MK","62.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|BG","BZN|MK","417.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|MK","BZN|GR","285.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|RS","BZN|MK","21.90"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|XK*","BZN|MK","76.80"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|BG","BZN|MK","426.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|MK","BZN|GR","252.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|RS","BZN|MK","34.93"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|XK*","BZN|MK","42.40"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|BG","BZN|MK","435.00"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|MK","BZN|GR","231.00"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|RS","BZN|MK","65.29"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|XK*","BZN|MK","16.40"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|BG","BZN|MK","456.00"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|MK","BZN|GR","239.00"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|RS","BZN|MK","50.72"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|XK*","BZN|MK","4.80"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|BG","BZN|MK","461.00"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|MK","BZN|GR","158.00"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|RS","BZN|MK","63.09"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|MK","BZN|XK*","30.40"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|BG","BZN|MK","478.00"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|MK","BZN|GR","121.00"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|RS","BZN|MK","77.80"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|MK","BZN|XK*","43.20"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|BG","BZN|MK","517.00"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|MK","BZN|GR","154.00"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|RS","BZN|MK","76.16"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|MK","BZN|XK*","32.00"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|BG","BZN|MK","518.00"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|MK","BZN|GR","153.00"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|RS","BZN|MK","82.99"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|MK","BZN|XK*","39.60"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|BG","BZN|MK","522.00"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|MK","BZN|GR","171.00"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|RS","BZN|MK","61.87"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|MK","BZN|XK*","22.80"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|BG","BZN|MK","476.00"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|MK","BZN|GR","125.00"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|RS","BZN|MK","51.22"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|MK","BZN|XK*","21.20"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|BG","BZN|MK","478.00"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|MK","BZN|GR","172.00"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|RS","BZN|MK","47.52"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|MK","BZN|XK*","15.20"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|XK*","BZN|MK","0.00"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|BG","BZN|MK","467.00"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|MK","BZN|GR","187.00"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|GR","BZN|MK","0.00"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|MK","BZN|RS","0.00"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|RS","BZN|MK","32.38"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|XK*","BZN|MK","14.40"
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|MK","BZN|BG","0.00"
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|BG","BZN|MK","514.00"
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|MK","BZN|GR","144.00"
