"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|AT","BZN|SI","355.89"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|HR","BZN|SI","757.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SI","BZN|IT-North","884.73"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|IT-North","BZN|SI","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SI","BZN|IT-North-SI","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|IT-North-SI","BZN|SI","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|AT","BZN|SI","279.74"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|HR","BZN|SI","732.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SI","BZN|IT-North","657.42"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|IT-North","BZN|SI","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SI","BZN|IT-North-SI","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|IT-North-SI","BZN|SI","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|AT","BZN|SI","157.56"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|HR","BZN|SI","735.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SI","BZN|IT-North","653.99"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|IT-North","BZN|SI","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SI","BZN|IT-North-SI","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|IT-North-SI","BZN|SI","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|AT","BZN|SI","290.62"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|HR","BZN|SI","717.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SI","BZN|IT-North","853.57"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|IT-North","BZN|SI","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SI","BZN|IT-North-SI","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|IT-North-SI","BZN|SI","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|AT","BZN|SI","234.04"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|HR","BZN|SI","676.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SI","BZN|HU","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|HU","BZN|SI","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SI","BZN|IT-North","763.50"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|IT-North","BZN|SI","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SI","BZN|IT-North-SI","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|IT-North-SI","BZN|SI","n/e"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|SI","BZN|AT","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|AT","BZN|SI","189.87"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|SI","BZN|DE-AT-LU","n/e"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|DE-AT-LU","BZN|SI","n/e"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|SI","BZN|HR","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|HR","BZN|SI","769.00"
