"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|UA-IPS","BZN|BY","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|BY","BZN|UA-IPS","52.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|MD","BZN|UA-IPS","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|UA-IPS","BZN|PL","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|PL","BZN|UA-IPS","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|UA-IPS","BZN|RU","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|RU","BZN|UA-IPS","421.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|UA-IPS","BZN|SK","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SK","BZN|UA-IPS","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|UA-IPS","BZN|BY","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|BY","BZN|UA-IPS","110.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|MD","BZN|UA-IPS","7.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|UA-IPS","BZN|PL","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|PL","BZN|UA-IPS","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|UA-IPS","BZN|RU","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|RU","BZN|UA-IPS","462.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|UA-IPS","BZN|SK","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|SK","BZN|UA-IPS","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|UA-IPS","BZN|BY","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|BY","BZN|UA-IPS","12.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|MD","BZN|UA-IPS","10.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|UA-IPS","BZN|PL","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|PL","BZN|UA-IPS","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|UA-IPS","BZN|RU","0.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|RU","BZN|UA-IPS","365.00"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|UA-IPS","BZN|SK","n/e"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|SK","BZN|UA-IPS","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|UA-IPS","BZN|BY","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|BY","BZN|UA-IPS","49.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|MD","BZN|UA-IPS","19.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|UA-IPS","BZN|PL","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|PL","BZN|UA-IPS","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|UA-IPS","BZN|RU","0.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|RU","BZN|UA-IPS","458.00"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|UA-IPS","BZN|SK","n/e"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|SK","BZN|UA-IPS","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|UA-IPS","BZN|BY","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|BY","BZN|UA-IPS","8.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|MD","BZN|UA-IPS","33.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|UA-IPS","BZN|PL","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|PL","BZN|UA-IPS","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|UA-IPS","BZN|RO","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|RO","BZN|UA-IPS","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|UA-IPS","BZN|RU","0.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|RU","BZN|UA-IPS","458.00"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|UA-IPS","BZN|SK","n/e"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|SK","BZN|UA-IPS","n/e"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|UA-IPS","BZN|BY","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|BY","BZN|UA-IPS","69.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|UA-IPS","BZN|HU","n/e"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|HU","BZN|UA-IPS","n/e"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|MD","BZN|UA-IPS","68.00"
