"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|AL","BZN|GR","134.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ME","BZN|AL","39.10"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|AL","BZN|XK*","58.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|AL","BZN|GR","138.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ME","BZN|AL","24.03"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|AL","BZN|XK*","49.54"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|AL","BZN|GR","126.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|AL","BZN|ME","2.07"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|ME","BZN|AL","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|AL","BZN|XK*","29.10"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|AL","BZN|GR","177.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|ME","BZN|AL","50.65"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|AL","BZN|XK*","18.86"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|AL","BZN|GR","258.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|GR","BZN|AL","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|AL","BZN|ME","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|ME","BZN|AL","157.31"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|AL","BZN|RS","n/e"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|RS","BZN|AL","n/e"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|AL","BZN|XK*","45.40"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|AL","BZN|GR","252.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|GR","BZN|AL","0.00"
