"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|AZ","BZN|GE","693.65"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|AZ","BZN|GE","697.96"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|AZ","BZN|GE","689.65"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|AZ","BZN|GE","676.55"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|AZ","BZN|GE","694.32"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|AZ","BZN|GE","700.19"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|AZ","BZN|GE","700.36"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|AZ","BZN|GE","700.04"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|AZ","BZN|GE","699.67"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|AZ","BZN|GE","700.62"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|AZ","BZN|GE","700.14"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|AZ","BZN|GE","699.60"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|AZ","BZN|GE","700.22"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|AZ","BZN|GE","700.40"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|AZ","BZN|GE","700.51"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|AZ","BZN|GE","700.04"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|AZ","BZN|GE","699.26"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|AZ","BZN|GE","699.96"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|AZ","BZN|GE","699.74"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|AZ","BZN|GE","697.69"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|AZ","BZN|GE","699.43"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|AZ","BZN|GE","699.93"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|AZ","BZN|GE","698.49"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|AZ","BZN|GE","696.27"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|AZ","BZN|GE","699.43"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|AZ","BZN|GE","693.63"
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|AZ","BZN|GE","696.66"
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|AZ","BZN|GE","699.94"
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|AZ","BZN|GE","699.59"
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|AZ","BZN|GE","699.96"
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|AZ","BZN|GE","700.95"
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|AZ","BZN|GE","699.27"
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|AZ","BZN|GE","701.05"
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|AZ","BZN|GE","699.16"
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|AZ","BZN|GE","699.50"
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|AZ","BZN|GE","699.79"
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|AZ","BZN|GE","698.06"
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|AZ","BZN|GE","700.06"
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|AZ","BZN|GE","700.76"
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|AZ","BZN|GE","699.77"
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|AZ","BZN|GE","699.61"
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|AZ","BZN|GE","699.90"
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|AZ","BZN|GE","699.46"
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|AZ","BZN|GE","699.96"
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|AZ","BZN|GE","699.14"
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|AZ","BZN|GE","697.98"
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|AZ","BZN|GE","700.30"
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|GE","BZN|AZ","0.00"
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|AZ","BZN|GE","699.93"
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|AZ","BZN|GE","700.16"
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|AZ","BZN|GE","699.75"
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|AZ","BZN|GE","700.21"
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|AZ","BZN|GE","700.19"
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|AZ","BZN|GE","699.82"
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|AZ","BZN|GE","699.88"
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|AZ","BZN|GE","700.04"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|AZ","BZN|GE","701.22"
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|AZ","BZN|GE","700.75"
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|AZ","BZN|GE","699.93"
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|AZ","BZN|GE","701.13"
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|AZ","BZN|GE","699.82"
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|AZ","BZN|GE","699.90"
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|AZ","BZN|GE","700.58"
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|AZ","BZN|GE","700.46"
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|AZ","BZN|GE","699.52"
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|AZ","BZN|GE","699.65"
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|AZ","BZN|GE","699.56"
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|AZ","BZN|GE","700.58"
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|AZ","BZN|GE","698.94"
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|AZ","BZN|GE","698.99"
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|AZ","BZN|GE","699.16"
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|AZ","BZN|GE","698.75"
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|GE","BZN|AZ","0.00"
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|AZ","BZN|GE","701.04"
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|AZ","BZN|GE","699.72"
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|AZ","BZN|GE","698.65"
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|AZ","BZN|GE","699.68"
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|AZ","BZN|GE","700.74"
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|AZ","BZN|GE","701.56"
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|AZ","BZN|GE","698.94"
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|AZ","BZN|GE","702.29"
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|AZ","BZN|GE","700.86"
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|AZ","BZN|GE","700.42"
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|AZ","BZN|GE","697.41"
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|AZ","BZN|GE","694.09"
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|AZ","BZN|GE","694.17"
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|AZ","BZN|GE","695.50"
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|AZ","BZN|GE","695.23"
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|AZ","BZN|GE","694.62"
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|AZ","BZN|GE","694.64"
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|AZ","BZN|GE","694.87"
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|AZ","BZN|GE","695.48"
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|AZ","BZN|GE","694.87"
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|AZ","BZN|GE","694.88"
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|AZ","BZN|GE","693.90"
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|AZ","BZN|GE","694.37"
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|AZ","BZN|GE","694.51"
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|GE","BZN|AZ","0.00"
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|AZ","BZN|GE","695.25"
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|GE","BZN|AZ","0.00"
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|AZ","BZN|GE","694.50"
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|GE","BZN|AZ","0.00"
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|AZ","BZN|GE","694.86"
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|GE","BZN|AZ","0.00"
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|AZ","BZN|GE","695.28"
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|GE","BZN|AZ","0.00"
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|AZ","BZN|GE","694.42"
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|GE","BZN|AZ","0.00"
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|AZ","BZN|GE","695.34"
