"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|RO","BZN|MD","291.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|MD","BZN|UA","266.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|MD","BZN|UA-IPS","266.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|RO","BZN|MD","161.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|MD","BZN|UA","149.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|MD","BZN|UA-IPS","149.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|RO","BZN|MD","94.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|MD","BZN|UA","94.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|MD","BZN|UA-IPS","94.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|RO","BZN|MD","108.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|MD","BZN|UA","124.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|MD","BZN|UA-IPS","124.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|RO","BZN|MD","96.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|MD","BZN|UA","117.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|MD","BZN|UA-IPS","117.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|RO","BZN|MD","163.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|MD","BZN|UA","190.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|MD","BZN|UA-IPS","190.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|RO","BZN|MD","151.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|MD","BZN|UA","189.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|MD","BZN|UA-IPS","189.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|RO","BZN|MD","245.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|MD","BZN|UA","324.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|MD","BZN|UA-IPS","324.00"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|RO","BZN|MD","292.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|MD","BZN|UA","393.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|MD","BZN|UA-IPS","393.00"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|RO","BZN|MD","311.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|MD","BZN|UA","415.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|MD","BZN|UA-IPS","415.00"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|RO","BZN|MD","289.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|MD","BZN|UA","378.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|MD","BZN|UA-IPS","378.00"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|RO","BZN|MD","325.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|MD","BZN|UA","402.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|MD","BZN|UA-IPS","402.00"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|RO","BZN|MD","292.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|MD","BZN|UA","376.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|MD","BZN|UA-IPS","376.00"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|RO","BZN|MD","288.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|MD","BZN|UA","378.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|MD","BZN|UA-IPS","378.00"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|RO","BZN|MD","228.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|MD","BZN|UA","314.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|MD","BZN|UA-IPS","314.00"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|RO","BZN|MD","256.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|MD","BZN|UA","342.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|UA","BZN|MD","0.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|MD","BZN|UA-IPS","342.00"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|UA-IPS","BZN|MD","0.00"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|MD","BZN|RO","0.00"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|RO","BZN|MD","99.00"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|MD","BZN|UA","174.00"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|UA","BZN|MD","0.00"
