"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|CZ","BZN|SK","2102.93"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SK","BZN|HU","2860.86"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|PL","BZN|SK","926.50"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SK","BZN|UA","503.93"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|UA","BZN|SK","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SK","BZN|UA-IPS","503.93"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|UA-IPS","BZN|SK","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|CZ","BZN|SK","1985.85"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SK","BZN|HU","2844.75"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|PL","BZN|SK","990.50"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SK","BZN|UA","493.15"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|UA","BZN|SK","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SK","BZN|UA-IPS","493.15"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|UA-IPS","BZN|SK","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|CZ","BZN|SK","2036.83"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SK","BZN|HU","2760.59"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|PL","BZN|SK","1056.30"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SK","BZN|UA","517.63"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|UA","BZN|SK","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|SK","BZN|UA-IPS","517.63"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|UA-IPS","BZN|SK","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|CZ","BZN|SK","1888.43"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SK","BZN|HU","2722.69"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|PL","BZN|SK","1073.40"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SK","BZN|UA","554.20"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|UA","BZN|SK","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|SK","BZN|UA-IPS","554.20"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|UA-IPS","BZN|SK","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|CZ","BZN|SK","1834.33"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SK","BZN|HU","2521.36"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|PL","BZN|SK","1034.50"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SK","BZN|UA","483.45"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|UA","BZN|SK","0.00"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|SK","BZN|UA-IPS","483.45"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|UA-IPS","BZN|SK","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|CZ","BZN|SK","1770.73"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SK","BZN|HU","2585.45"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|PL","BZN|SK","1009.60"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SK","BZN|UA","513.18"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|UA","BZN|SK","0.00"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|SK","BZN|UA-IPS","513.18"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|UA-IPS","BZN|SK","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|CZ","BZN|SK","1844.15"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|SK","BZN|HU","2637.28"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|HU","BZN|SK","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|SK","BZN|PL","0.00"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|PL","BZN|SK","1005.10"
