"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|AL","BZN|XK*","58.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|XK*","BZN|ME","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ME","BZN|XK*","32.80"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|XK*","BZN|MK","146.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|XK*","BZN|RS","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|RS","BZN|XK*","442.42"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|AL","BZN|XK*","49.54"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|XK*","BZN|ME","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ME","BZN|XK*","29.20"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|XK*","BZN|MK","126.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|XK*","BZN|RS","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|RS","BZN|XK*","462.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|AL","BZN|XK*","29.10"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|XK*","BZN|ME","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|ME","BZN|XK*","7.20"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|XK*","BZN|MK","117.20"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|MK","BZN|XK*","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|XK*","BZN|RS","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|RS","BZN|XK*","448.66"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|XK*","BZN|AL","0.00"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|AL","BZN|XK*","18.86"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|XK*","BZN|ME","0.00"
