"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|HR","BZN|BA","549.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BA","BZN|ME","670.99"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BA","BZN|RS","130.73"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|HR","BZN|BA","372.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BA","BZN|ME","615.10"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BA","BZN|RS","16.29"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|HR","BZN|BA","326.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|BA","BZN|ME","628.24"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|BA","BZN|RS","11.57"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|RS","BZN|BA","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|HR","BZN|BA","251.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|BA","BZN|ME","529.51"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|BA","BZN|RS","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|RS","BZN|BA","2.81"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|BA","BZN|HR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|HR","BZN|BA","157.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|BA","BZN|ME","474.95"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|ME","BZN|BA","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|BA","BZN|RS","0.00"
