"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CZ","BZN|AT","1598.80"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|AT","BZN|CZ","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CZ","BZN|DE-AT-LU","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DE-AT-LU","BZN|CZ","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CZ","BZN|DE-LU","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DE-LU","BZN|CZ","835.27"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|PL","BZN|CZ","156.50"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|CZ","BZN|SK","1406.88"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CZ","BZN|AT","1466.90"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|AT","BZN|CZ","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CZ","BZN|DE-AT-LU","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DE-AT-LU","BZN|CZ","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CZ","BZN|DE-LU","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DE-LU","BZN|CZ","761.02"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|PL","BZN|CZ","204.72"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|CZ","BZN|SK","1316.65"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CZ","BZN|AT","1183.50"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|AT","BZN|CZ","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CZ","BZN|DE-AT-LU","n/e"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DE-AT-LU","BZN|CZ","n/e"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CZ","BZN|DE-LU","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DE-LU","BZN|CZ","562.29"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|PL","BZN|CZ","290.53"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|CZ","BZN|SK","1129.38"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CZ","BZN|AT","772.90"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|AT","BZN|CZ","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CZ","BZN|DE-AT-LU","n/e"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DE-AT-LU","BZN|CZ","n/e"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CZ","BZN|DE-LU","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DE-LU","BZN|CZ","278.46"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CZ","BZN|PL","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|PL","BZN|CZ","338.99"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|CZ","BZN|SK","775.80"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|SK","BZN|CZ","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|CZ","BZN|AT","636.30"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|AT","BZN|CZ","0.00"
