"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GE","BZN|AM","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|AM","BZN|GE","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|AZ","BZN|GE","99.25"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GE","BZN|RU","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RU","BZN|GE","153.96"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GE","BZN|TR","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|TR","BZN|GE","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GE","BZN|AM","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|AM","BZN|GE","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|AZ","BZN|GE","84.59"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GE","BZN|RU","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|RU","BZN|GE","150.44"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GE","BZN|TR","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|TR","BZN|GE","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GE","BZN|AM","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|AM","BZN|GE","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|AZ","BZN|GE","86.57"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GE","BZN|RU","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|RU","BZN|GE","148.02"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|GE","BZN|TR","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|TR","BZN|GE","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GE","BZN|AM","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|AM","BZN|GE","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|AZ","BZN|GE","83.76"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GE","BZN|RU","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|RU","BZN|GE","146.71"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|GE","BZN|TR","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|TR","BZN|GE","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GE","BZN|AM","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|AM","BZN|GE","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|AZ","BZN|GE","96.40"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GE","BZN|RU","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|RU","BZN|GE","147.62"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|GE","BZN|TR","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|TR","BZN|GE","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GE","BZN|AM","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|AM","BZN|GE","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|AZ","BZN|GE","100.20"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GE","BZN|RU","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|RU","BZN|GE","150.19"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|GE","BZN|TR","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|TR","BZN|GE","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GE","BZN|AM","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|AM","BZN|GE","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GE","BZN|AZ","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|AZ","BZN|GE","100.91"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GE","BZN|RU","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|RU","BZN|GE","153.04"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|GE","BZN|TR","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|TR","BZN|GE","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|GE","BZN|AM","0.00"
