"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|RU-KGD","BZN|LT","27.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|RU-KGD","BZN|LT","26.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|RU-KGD","BZN|LT","29.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|RU-KGD","BZN|LT","29.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|RU-KGD","BZN|LT","23.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|RU-KGD","BZN|LT","17.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|RU-KGD","BZN|LT","15.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|RU-KGD","BZN|LT","14.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|RU-KGD","BZN|LT","13.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|RU-KGD","BZN|LT","5.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|LT","BZN|RU-KGD","0.00"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|RU-KGD","BZN|LT","9.00"
