country,2019,2020,2021,2022,2023,2024
AL,0.061254,0.075397,0.041872,0.136089,0.033251,0.007389
AM,0.0,0.0,0.0,0.0,0.0,0.0
AT,0.019943,0.029101,0.027094,0.048387,0.024631,0.012315
AZ,0.0,0.0,0.0,0.0,0.0,0.0
BA,0.051282,0.06746,0.049261,0.038306,0.007389,0.04803
BG,0.095442,0.141534,0.179803,0.073589,0.185961,0.275862
BY,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.058405,0.096561,0.071429,0.0625,0.045567,0.098522
DE-LU,0.004274,0.002646,0.003695,0.003024,0.011084,0.003695
GE,0.0,0.0,0.0,0.0625,0.096059,0.066502
GR,0.05698,0.092593,0.121921,0.158266,0.093596,0.105911
HR,0.126781,0.187831,0.149015,0.058468,0.102217,0.158867
HU,0.138177,0.338624,0.433498,0.333669,0.248768,0.176108
IT-Centre-South,0.0,0.0,0.0,0.0,0.0,0.0
IT-North,0.0,0.0,0.0,0.0,0.0,0.0
IT-South,0.0,0.0,0.0,0.0,0.0,0.0
LT,0.029915,0.029101,0.03202,0.025202,0.0,0.0
MD,0.0,0.0,0.061576,0.166331,0.189655,0.194581
ME,0.021368,0.087302,0.114532,0.235887,0.080049,0.10468
MK,0.008547,0.018519,0.084975,0.014113,0.067734,0.003695
PL,0.136752,0.298942,0.381773,0.272177,0.197044,0.235222
RO,0.109687,0.123016,0.37931,0.367944,0.381773,0.333744
RS,0.141026,0.248677,0.247537,0.326613,0.342365,0.270936
RU,0.0,0.0,0.0,0.0,0.0,0.0
RU-KGD,0.0,0.0,0.0,0.0,0.0,0.0
SE4,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.065527,0.079365,0.050493,0.058468,0.057882,0.071429
SK,0.12963,0.194444,0.229064,0.129032,0.12069,0.100985
TR,0.0,0.0,0.0,0.084677,0.123153,0.092365
UA,0.019943,0.14418,0.213054,0.024194,0.012315,0.0
UA-DobTPP,0.0,0.0,0.0,0.0,0.0,0.0
UA-IPS,0.005698,0.063492,0.124384,0.164315,0.156404,0.216749
XK*,0.0,0.0,0.002463,0.018145,0.004926,0.001232
