country,2019,2020,2021,2022,2023,2024
AL,0.359801,0.376844,0.328424,0.40248,0.361878,0.503507
AM,0.0,0.0,0.0,0.0,0.0,0.012721
AT,0.12912,0.143571,0.35955,0.338858,0.340815,0.336246
AZ,0.0,0.0,0.0,0.0,0.0,0.0
BA,0.281546,0.293707,0.313453,0.385446,0.354069,0.515643
BG,0.264013,0.32561,0.320036,0.273222,0.431251,0.7228
BY,0.05391,0.071767,0.088092,0.0,0.0,0.0
CZ,0.356072,0.114424,0.21546,0.266906,0.225199,0.348951
DE-LU,0.209327,0.106178,0.202643,0.248523,0.214612,0.303256
GE,0.0,0.0,0.0,0.075168,0.037781,0.075223
GR,0.524788,0.494988,0.413382,0.424798,0.627091,0.654192
HR,0.378431,0.357608,0.541093,0.614259,0.481411,0.625986
HU,0.279439,0.311673,0.487724,0.430855,0.418445,0.518391
IT-Centre-South,0.0,0.256958,0.32102,0.3523,0.399437,0.512818
IT-North,0.348568,0.288498,0.505768,0.559515,0.44998,0.462459
IT-South,0.0,0.189004,0.344125,0.342874,0.482266,0.533459
LT,0.106426,0.090817,0.168907,0.214369,0.187449,0.303802
MD,0.179038,0.085928,0.132124,0.314519,0.358898,0.61276
ME,0.277605,0.303641,0.333112,0.384662,0.412038,0.582274
MK,0.388275,0.387841,0.39363,0.404108,0.43361,0.51172
PL,0.483661,0.118812,0.220973,0.274596,0.23349,0.368166
RO,0.27979,0.33547,0.384703,0.335826,0.4234,0.804809
RS,0.351621,0.351418,0.397514,0.476235,0.445963,0.757971
RU,0.018687,0.011404,0.0,0.0,0.0,0.0
RU-KGD,0.0,0.0,0.0,0.0,0.0,0.0
SE4,0.050212,0.0,0.105541,0.07688,0.11738,0.186195
SI,0.339956,0.30023,0.519964,0.578537,0.450708,0.496533
SK,0.451019,0.115408,0.214263,0.26667,0.236022,0.358982
TR,0.249209,0.280884,0.251648,0.3038,0.402724,0.320869
UA,0.341284,0.122797,0.250137,0.287446,0.325938,0.53168
UA-DobTPP,0.0,0.0,0.0,0.0,0.0,0.0
UA-IPS,0.049147,0.019796,0.091952,0.298396,0.324935,0.54195
XK*,0.0,0.0,0.380682,0.420726,0.431339,0.555959
