country,2019_import,2019_export,2020_import,2020_export,2021_import,2021_export,2022_import,2022_export,2023_import,2023_export,2024_import,2024_export
AL,3.133,0.726,3.16,0.9,3.128,4.55,4.122,3.448,2.702,4.101,3.278,3.653
AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359,0.0,0.143,0.133,0.0
AT,9.446,12.016,8.519,11.025,11.956,6.993,13.537,7.722,9.862,6.058,6.527,11.876
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.773,0.0,3.039,0.0,1.032
BA,1.821,10.34,1.985,11.82,1.848,6.542,2.765,5.176,2.371,6.438,3.61,6.639
BG,4.668,14.57,6.137,11.442,2.262,16.337,1.79,21.433,4.387,10.788,6.737,9.285
BY,0.973,0.431,1.631,0.155,1.766,0.336,0.0,0.188,0.0,0.0,0.0,0.0
CZ,8.541,21.28,10.349,20.183,11.773,22.96,12.43,26.695,10.334,24.281,12.789,28.431
DE-LU,1.651,15.673,1.516,18.721,3.552,12.214,3.767,11.926,5.119,11.516,2.906,15.587
GE,0.0,0.0,0.0,0.0,0.0,0.0,4.812,4.025,4.309,4.644,2.189,1.875
GR,13.284,0.981,11.569,0.875,10.854,4.704,11.02,5.223,13.246,3.57,9.246,7.716
HR,15.184,3.873,15.166,4.376,14.763,8.703,15.625,7.279,12.188,8.989,19.393,7.707
HU,19.647,10.971,18.366,9.451,19.445,9.076,21.657,13.195,34.554,12.068,36.242,20.668
IT-Centre-South,0.0,0.0,1.633,1.046,3.352,0.189,3.247,0.421,4.196,0.0,3.237,0.423
IT-North,5.141,0.17,3.759,0.273,5.425,0.0,6.057,0.0,6.504,0.0,4.886,0.582
IT-South,0.0,3.028,0.316,2.572,1.854,0.515,1.737,1.05,1.985,0.64,2.526,0.578
LT,3.053,2.279,2.431,2.158,2.593,1.683,1.75,1.73,0.996,1.529,1.644,0.679
MD,1.21,0.0,0.455,0.0,0.737,0.408,4.745,3.95,2.618,4.603,2.9,4.547
ME,7.649,3.066,10.4,5.328,6.071,5.791,6.132,7.62,6.731,7.183,7.329,7.515
MK,6.855,2.831,6.953,2.818,5.882,3.733,5.414,4.132,3.914,7.1,4.793,5.652
PL,18.381,6.754,21.078,6.385,16.137,13.565,17.25,15.94,15.037,14.504,15.188,18.002
RO,5.499,5.656,6.672,6.019,7.098,4.118,10.139,7.923,8.019,10.045,15.859,7.1
RS,7.915,5.946,7.632,6.822,10.629,9.495,14.011,9.137,9.261,11.959,12.832,10.891
RU,0.357,1.442,0.329,1.308,0.0,2.37,0.0,2.271,0.0,1.127,0.0,1.157
RU-KGD,0.0,2.669,0.0,2.052,0.0,1.899,0.0,0.809,0.0,0.0,0.0,0.0
SE4,0.188,3.076,0.0,3.789,0.209,3.431,0.11,3.899,0.253,4.042,0.388,3.013
SI,8.233,9.71,6.048,11.156,10.259,8.772,11.471,7.646,10.54,10.083,9.318,15.459
SK,13.374,11.688,12.919,12.622,13.658,12.883,16.543,15.531,19.904,26.857,27.518,33.547
TR,1.935,2.671,1.648,2.118,1.008,3.109,6.298,3.063,5.877,1.463,2.418,1.675
UA,2.936,7.786,3.485,6.131,2.495,5.49,3.202,5.954,4.62,4.046,7.8,3.651
UA-DobTPP,0.0,1.377,0.0,1.484,0.0,0.829,0.0,1.13,0.0,0.0,0.0,0.0
UA-IPS,1.873,1.935,1.463,2.59,2.979,3.086,3.862,2.874,5.493,6.789,10.844,5.099
XK*,0.0,0.0,0.0,0.0,5.176,3.122,4.888,3.861,5.324,2.741,4.596,3.088
